orig_port_cd,minm_wgh_qty,max_wgh_qty,rate,mode_dsc,tpt_day_cnt
PORT01,0,99999.99,0.0784,AIR   ,7
PORT01,100,249.99,0.0484,AIR   ,14
PORT01,55.01,55.5,5.1196,AIR   ,1
PORT01,0,5000,16.3172,GROUND,1
PORT01,54.01,54.5,3.0404,AIR   ,1
PORT01,0,5000,10.2024,GROUND,1
PORT01,0,99.99,0.0484,AIR   ,14
PORT01,250,499.99,0.0484,AIR   ,14
PORT02,0,99999.99,0.0784,AIR   ,7
PORT02,4.51,5,0.7567999999999999,AIR   ,1
PORT02,51.01,51.5,3.5988000000000007,AIR   ,1
PORT02,26.51,27,3.0768,AIR   ,1
PORT02,2000,99999.99,0.0784,AIR   ,4
PORT02,2.01,2.5,0.4512,AIR   ,1
PORT02,69.01,69.5,5.8228,AIR   ,1
PORT02,23.01,23.5,1.8668,AIR   ,1
PORT03,0,99999.99,0.2828,AIR   ,7
PORT03,0,5000,17.3172,GROUND,1
PORT03,0,5000,9.2024,GROUND,1
PORT03,0,5000,6.4236,GROUND,1
PORT03,0,5000,13.2024,GROUND,1
PORT03,0,99999.99,0.2828,AIR   ,7
PORT03,500,1999.99,0.2692,AIR   ,2
PORT03,0,5000,20.3172,GROUND,1
PORT04,0,99999.99,0.16,AIR   ,7
PORT04,27.01,27.5,1.58,AIR   ,1
PORT04,70.01,70.5,6.3076,AIR   ,1
PORT04,45.01,45.5,3.3276000000000003,AIR   ,1
PORT04,0,99.99,0.1816,AIR   ,0
PORT04,3.01,3.5,0.6872,AIR   ,1
PORT04,100,299.99,0.07919999999999999,AIR   ,1
PORT04,500,1999.99,0.054400000000000004,AIR   ,3
PORT05,0,99999.99,0.12,AIR   ,5
PORT05,26.01,26.5,2.1168,AIR   ,1
PORT05,57.51,58,8.1984,AIR   ,1
PORT05,45,70.99,0.140912,AIR   ,2
PORT05,1.01,1.5,0.901464,AIR   ,2
PORT05,39.51,40,5.017600000000001,AIR   ,1
PORT05,72.01,72.5,10.845600000000001,AIR   ,1
PORT05,0.01,0.5,0.7346039999999999,AIR   ,2
PORT06,0,99999.99,0.12,AIR   ,2
PORT06,25.51,26,1.9143999999999999,AIR   ,2
PORT06,12.01,12.5,1.2087999999999999,AIR   ,2
PORT06,63.51,64,6.4488,AIR   ,2
PORT06,60.51,61,4.212000000000001,AIR   ,2
PORT06,62.51,63,3.3491999999999997,AIR   ,2
PORT06,13.51,14,1.2976,AIR   ,2
PORT06,100,249.99,0.07400000000000001,AIR   ,2
PORT07,0,99999.99,0.25,AIR   ,6
PORT07,0,99.99,0.2772,AIR   ,3
PORT07,250,499.99,0.2072,AIR   ,3
PORT07,0,99.99,0.2652,AIR   ,4
PORT07,2000,99999.99,0.1852,AIR   ,3
PORT07,100,249.99,0.2332,AIR   ,4
PORT07,500,1999.99,0.1972,AIR   ,3
PORT07,500,1999.99,0.1932,AIR   ,4
PORT08,0,99999.99,0.46,AIR   ,6
PORT08,0,4.99,1.8272,AIR   ,2
PORT08,0,99999.99,0.46,AIR   ,6
PORT08,65,69.99,0.7512000000000001,AIR   ,2
PORT08,0,99.99,0.21719999999999998,AIR   ,6
PORT08,500,1999.99,0.1484,AIR   ,5
PORT08,250,499.99,0.1492,AIR   ,5
PORT08,2000,99999.99,0.10200000000000001,AIR   ,5
PORT09,0,99999.99,0.46,AIR   ,6
PORT09,500,1999.99,0.047599999999999996,AIR   ,5
PORT09,250,499.99,0.0332,AIR   ,14
PORT09,250,499.99,0.047599999999999996,AIR   ,5
PORT09,500,1999.99,0.0332,AIR   ,14
PORT09,2000,99999.99,0.053200000000000004,AIR   ,2
PORT09,100,249.99,0.047599999999999996,AIR   ,5
PORT09,100,249.99,0.058800000000000005,AIR   ,0
PORT10,0,99999.99,0.46,AIR   ,6
PORT10,1.01,1.5,0.5883999999999999,AIR   ,3
PORT10,29.034423920000002,29.48348,6.553770133512057,AIR   ,3
PORT10,39.467039920000005,39.916095999999996,9.26544053334274,AIR   ,3
PORT10,57.61071992,58.059776,13.627051849238962,AIR   ,3
PORT10,24.04491192,24.493968,6.651637820772853,AIR   ,3
PORT10,55,59.99,0.8271999999999999,AIR   ,2
PORT10,0.51,1,0.5883999999999999,AIR   ,3
PORT11,0,99999.99,0.46,AIR   ,6
PORT11,2000,99999.99,0.0924,AIR   ,14
PORT11,2000,99999.99,0.1572,AIR   ,5
PORT11,500,1999.99,0.0768,AIR   ,6
PORT11,0,99.99,0.1972,AIR   ,5
PORT11,0,99.99,0.1,AIR   ,14
PORT11,2000,99999.99,0.07640000000000001,AIR   ,6
PORT11,100,249.99,0.20279999999999998,AIR   ,0
